id,Input,Expected Output,Metadata
vat-input-easy-1,일반과세자가 신용카드매출전표나 현금영수증을 수취한 경우 별도 세금계산서 없이 매입세액 공제를 받을 수 있는가?,일반과세자로부터 신용카드매출전표·현금영수증을 교부받은 경우 별도로 세금계산서를 수취하지 않더라도 「신용카드매출전표등 수령명세서」를 작성·제출하면 세금계산서와 동일하게 매입세액 공제를 받을 수 있다.,"{""category"": ""매입세액 공제"", ""difficulty"": ""easy"", ""tax_type"": ""vat-general""}"
vat-input-easy-2,공제받을 수 없는 매입세액의 대표적인 항목은?,"① 세금계산서를 발급받지 않았거나 필요적 기재사항이 적히지 않은 경우, ② 사업과 직접 관련 없는 지출, ③ 접대비와 이와 유사한 비용, ④ 면세 관련 및 토지 관련 매입세액, ⑤ 사업자등록 전 매입세액이 원칙적으로 공제되지 않는다.","{""category"": ""매입세액 공제"", ""difficulty"": ""easy"", ""tax_type"": ""vat-common""}"
vat-input-medium-1,외상매출금을 받지 못한 경우 대손세액공제를 받을 수 있는 사유는?,"채무자의 파산·강제집행·형의 집행·사업폐지·사망·실종·행방불명, 회생계획인가 결정 또는 법원 면책결정에 따라 회수불능으로 확정된 채권, 부도발생일부터 6월 이상 경과한 수표·어음상의 채권 및 중소기업의 외상매출금(부도발생일 이전 발생분 한정), 중소기업의 회수기일 2년 이상 지난 외상매출금·미수금(특수관계인 거래 제외) 등 소득세법 시행령 제55조 제2항·법인세법 시행령 제19조의2 제1항의 대손사유와 동일하다. 공급일부터 10년이 지난 날이 속하는 과세기간에 대한 확정신고기한까지 대손이 확정된 세액이 대상이다.","{""category"": ""매입세액 공제"", ""difficulty"": ""medium"", ""tax_type"": ""vat-common""}"
vat-input-medium-2,일반과세자(개인)가 신용카드·현금영수증을 발행한 경우 받을 수 있는 발행세액공제는?,"영수증 발급 사업자에 해당하는 일반과세자(개인)가 신용카드매출전표·현금영수증을 발행한 경우 발행금액(부가가치세 포함)의 1.3%(2026.12.31.까지, 이후 1%)를 납부세액에서 공제받을 수 있으며 연간 1,000만원 한도가 적용된다. 대상 업종은 소매업·음식점업·숙박업·미용·욕탕 및 유사 서비스업·여객운송업·입장권 발행 사업·전문 인적용역·행정사업 등이며, 법인사업자와 직전 연도 공급가액 합계액 10억원 초과 개인사업자는 공제 대상에서 제외된다.","{""category"": ""매입세액 공제"", ""difficulty"": ""medium"", ""tax_type"": ""vat-general""}"
vat-input-hard-1,사업자등록 전 매입세액도 예외적으로 공제받을 수 있는 경우는?,"사업자등록 전 매입세액은 원칙적으로 공제 불가하나, 공급시기가 속하는 과세기간이 끝난 후 20일 이내에 등록 신청한 경우에는 등록신청일부터 공급시기가 속하는 과세기간 기산일까지 역산한 기간 내의 매입세액은 공제 가능하다.","{""category"": ""매입세액 공제"", ""difficulty"": ""hard"", ""tax_type"": ""vat-common""}"
vat-presumed-easy-1,의제매입세액공제 제도란 무엇인가?,"부가가치세가 면제되는 농·축·수·임산물을 원재료로 하여 제조·가공한 재화 또는 창출한 용역의 공급이 과세되는 경우, 매입원재료 가액의 일부를 매입세액으로 보아 매출세액에서 공제할 수 있도록 한 제도다.","{""category"": ""의제매입"", ""difficulty"": ""easy"", ""tax_type"": ""vat-common""}"
vat-presumed-medium-1,음식점업을 영위하는 개인 일반과세자의 의제매입세액 공제율은?,음식점업 중 개인 일반사업자는 면세로 공급받은 농·축·수·임산물 매입가액의 8/108을 공제율로 적용한다. 다만 과세표준 2억원 이하인 개인 음식점업은 9/109가 적용된다.,"{""category"": ""의제매입"", ""difficulty"": ""medium"", ""tax_type"": ""vat-general""}"
vat-presumed-hard-1,개인 음식점업의 의제매입세액 공제한도는 반기매출액 규모에 따라 어떻게 달라지는가?,"개인 음식업자의 공제한도는 반기매출액 1억원 이하 75%, 1억원 초과 2억원 이하 70%, 2억원 초과 60%로 매출 규모가 작을수록 한도 비율이 높다.","{""category"": ""의제매입"", ""difficulty"": ""hard"", ""tax_type"": ""vat-general""}"
vat-simple-easy-1,2024년부터 변경된 간이과세자 적용 대상 기준 금액은?,2024.1.1. 이후 개시하는 과세기간부터 직전연도 공급대가 합계액이 1억 400만원 미만인 개인사업자가 간이과세자 적용 대상이다. 종전 8천만원에서 상향되었다.,"{""category"": ""간이과세"", ""difficulty"": ""easy"", ""tax_type"": ""vat-simplified""}"
vat-simple-medium-1,간이과세자도 세금계산서를 발급해야 하는 경우는?,"직전연도 공급대가 합계액이 4,800만원 이상인 간이과세자는 2021.7.1. 이후 재화·용역을 공급하는 분부터 세금계산서를 발급해야 한다. 4,800만원 미만 간이과세자, 신규 개업한 간이과세자, 주로 사업자가 아닌 자에게 공급하는 영수증 발급사업자는 영수증을 발급한다.","{""category"": ""간이과세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-simplified""}"
vat-simple-medium-2,간이과세자의 납부세액은 어떻게 계산되는가?,"간이과세자는 세금계산서 발급 여부와 무관하게 [공급대가 × 업종별 부가가치율(15%~40%) × 10%]로 납부세액을 계산한다. 2021.7.1. 이후 업종별 부가가치율은 ① 소매업·재생용 재료수집 및 판매업·음식점업 15%, ② 제조업·농업·임업 및 어업·소화물 전문 운송업 20%, ③ 숙박업 25%, ④ 건설업·운수 및 창고업(소화물 전문 운송업 제외)·정보통신업 30%, ⑤ 금융 및 보험 관련 서비스업·전문·과학 및 기술서비스업(인물사진 및 행사용 영상 촬영업 제외)·사업시설관리·사업지원 및 임대서비스업·부동산 관련 서비스업·부동산임대업 40%, ⑥ 그 밖의 서비스업 30%이다.","{""category"": ""간이과세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-simplified""}"
vat-simple-hard-1,간이과세 포기신고를 한 경우 다시 간이과세자로 돌아갈 수 있는 시기는?,"간이과세 포기신고를 하면 일반과세자가 되는 달의 1일부터 3년이 되는 날이 속하는 과세기간까지는 간이과세 적용을 받을 수 없다. 다만 포기 당시 공급대가 합계액이 4,800만원 미만이던 개인사업자가 4,800만원 이상으로 변경된 경우 3년 이내라도 다시 간이과세 규정 적용이 가능하다.","{""category"": ""간이과세"", ""difficulty"": ""hard"", ""tax_type"": ""vat-simplified""}"
vat-penalty-easy-1,부가가치세 무신고 가산세율은 일반과 부당의 경우 각각 얼마인가?,"일반 무신고는 무신고 납부세액의 20%, 부당 무신고는 40%가 가산세로 부과된다. 영세율과세표준 신고불성실은 별도로 무·과소신고 영세율 과세표준의 0.5%이다.","{""category"": ""가산세"", ""difficulty"": ""easy"", ""tax_type"": ""vat-common""}"
vat-penalty-medium-1,전자세금계산서를 공급시기가 속하는 과세기간 확정신고기한이 지난 후 발급하면 어떤 가산세가 부과되는가?,"발급시기가 지난 후 공급시기가 속하는 과세기간에 대한 확정신고기한 내에 발급한 경우(지연발급)는 발급자 공급가액 × 1%, 수취자 0.5%가 부과된다. 확정신고기한 내에 발급하지 않은 경우(미발급)는 발급자 2%, 수취자는 매입세액 불공제다.","{""category"": ""가산세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-common""}"
vat-penalty-medium-2,세금계산서 발급의무가 있는 간이과세자가 세금계산서를 발급하지 않은 경우 가산세는?,"공급시기가 지난 후 확정신고기한까지 발급한 경우(지연발급)는 공급가액 × 1%, 확정신고기한까지 발급하지 않거나 그 이후 발급한 경우(미발급)는 공급가액 × 2%가 부과된다. 발급의무 통지서 송달 여부와 무관하게 세금계산서 발급의무가 부여된다.","{""category"": ""가산세"", ""difficulty"": ""medium"", ""tax_type"": ""vat-simplified""}"
vat-prelim-easy-1,개인 일반과세자도 예정신고를 해야 하는가?,개인사업자는 예정신고·납부 의무가 없다. 다만 예정고지세액이 50만원 이상(직전 과세기간 납부세액의 1/2)인 경우 예정고지서가 발부되므로 예정고지서의 금액을 납부기한까지 납부하면 된다.,"{""category"": ""예정신고/예정고지"", ""difficulty"": ""easy"", ""tax_type"": ""vat-general""}"
vat-prelim-easy-2,예정신고 또는 예정고지서 금액의 납부기한은 언제까지인가?,"예정신고기간(1월~3월, 7월~9월)이 끝난 후 25일 이내(4월 25일, 10월 25일)에 신고·납부해야 한다.","{""category"": ""예정신고/예정고지"", ""difficulty"": ""easy"", ""tax_type"": ""vat-common""}"
vat-prelim-medium-1,예정고지서를 받았는데 실적이 부진해 직접 예정신고를 하고 싶은데 가능한가?,"예정신고기간 과세표준 및 납부세액이 직전 과세기간에 비해 1/3 미만으로 감소한 경우 예정신고하고 납부할 수 있다. 사업설비투자·수출 등 조기환급 사유가 발생한 경우에도 예정신고로 환급받을 수 있으며, 이 경우 예정고지는 취소된다.","{""category"": ""예정신고/예정고지"", ""difficulty"": ""medium"", ""tax_type"": ""vat-common""}"
vat-prelim-medium-2,세금계산서를 발급하는 간이과세자도 예정신고 의무가 있는가?,"직전 과세기간 공급대가 4,800만원 이상으로 세금계산서를 발급하는 간이과세자가 예정신고기간(1월~6월)에 세금계산서를 발급한 경우 반드시 예정신고를 해야 한다. 신고기한은 7월 1일부터 7월 25일까지이다.","{""category"": ""예정신고/예정고지"", ""difficulty"": ""medium"", ""tax_type"": ""vat-simplified""}"
vat-prelim-hard-1,소규모 법인사업자(직전 과세기간 공급가액 1억 5천만원 미만) 판단 시 면세매출은 포함되는가?,"면세매출은 포함되지 않으며, 부가가치세법상 과세공급가액만 의미한다. 예정고지세액이 50만원 미만이거나 직전 과세기간 무실적인 경우 예정고지가 제외되며 예정신고 의무도 없다.","{""category"": ""예정신고/예정고지"", ""difficulty"": ""hard"", ""tax_type"": ""vat-general""}"
